%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z,field.valid
1.57E+18,871373,1.57E+18,0.649152687,-0.190345298,0.402214449,-0.028191164,0.030188299,0.705552033,0.707453358,-0.515719527,0.012867653,-0.029502625,-0.206063376,0.3321473,0.003285268,-2.355639061,0.890924013,3.594732863,0.142131088,0.204223777,0.68713512,1
1.57E+18,871374,1.57E+18,0.649091881,-0.195606897,0.402435139,-0.03005027,0.03031909,0.705784059,0.707139728,-0.532710271,0.013885214,-0.02687659,-0.239160252,0.298779819,0.087650634,-2.746058944,-0.229172003,2.863100184,0.065296844,0.390101112,0.68079104,1
1.57E+18,871375,1.57E+18,0.649108865,-0.201051834,0.402661403,-0.032014076,0.03059718,0.705441759,0.70738309,-0.53828787,0.008874848,-0.02620863,-0.236323681,0.3140113,0.015166909,-1.873921495,-1.862853421,2.549956814,0.001874399,0.622150916,0.690267157,1
1.57E+18,871376,1.57E+18,0.649109523,-0.206608749,0.40290055,-0.034000679,0.03078722,0.705441484,0.707282414,-0.550822772,0.003915448,-0.027744731,-0.237051812,0.315055679,-0.063421929,-1.236308384,-1.534109096,2.063462431,0.022101587,0.379917798,0.723676371,1
1.57E+18,871377,1.57E+18,0.649179659,-0.212180942,0.403122375,-0.03593877,0.031210718,0.705821699,0.706788529,-0.561146534,-0.000394098,-0.028978762,-0.227314487,0.319794367,0.033763347,-0.450685377,0.999380354,1.631510712,0.130519363,0.104602745,0.676375882,1
1.57E+18,871378,1.57E+18,0.649228874,-0.21786573,0.403342555,-0.038265573,0.031398245,0.705931759,0.706548122,-0.568306818,-0.000291306,-0.032844817,-0.24071187,0.346803191,0.085304076,-1.792601584,1.110800578,1.131797898,0.02300372,0.093979863,0.766626347,1
1.57E+18,871379,1.57E+18,0.649260383,-0.223735273,0.403532411,-0.040777524,0.031674885,0.705722225,0.706604583,-0.57844166,0.004670736,-0.039127053,-0.309466445,0.383044239,-0.007367141,-2.729164136,-1.073571399,0.675845544,0.035162409,0.104562027,0.637980502,1
1.57E+18,871380,1.57E+18,0.64943248,-0.229769811,0.403723348,-0.042939682,0.031936265,0.706158126,0.706029007,-0.593573297,-0.002599922,-0.045982,-0.290554305,0.385987232,0.018588628,-2.972818983,-1.696663632,0.618196272,0.044453513,0.153522332,0.657988423,1
1.57E+18,871381,1.57E+18,0.649675943,-0.235899345,0.403905671,-0.045242743,0.032363344,0.706440923,0.705582688,-0.61024488,-0.012613503,-0.0494634,-0.256553109,0.378836505,0.122560444,-2.885443888,-0.215563682,1.074410234,0.029166759,0.200923046,0.695832212,1
1.57E+18,871382,1.57E+18,0.649828497,-0.242213912,0.403990158,-0.047893245,0.032742624,0.706198009,0.705633424,-0.625997836,-0.012493233,-0.056885488,-0.277348966,0.410737088,0.01821244,-2.728407079,0.940065667,1.654723772,0.226653726,0.205839109,0.689807685,1
1.57E+18,871383,1.57E+18,0.649976343,-0.248759424,0.404172166,-0.050294868,0.033204164,0.706738353,0.704903405,-0.642352453,-0.005935811,-0.064837674,-0.279598806,0.427805544,0.010099648,-3.944425808,-0.745394023,1.287868539,-0.035028554,0.303934492,0.692202501,1
1.57E+18,871384,1.57E+18,0.650166336,-0.255445866,0.404283397,-0.0526664,0.033551209,0.706923682,0.704527838,-0.661381053,-0.006062174,-0.065170212,-0.27590319,0.400257493,0.141483788,-3.249315798,-0.150652222,1.46899045,0.007056384,0.152953556,0.715042068,1
